case_id,name,value
EXIT-YTMSellSolve-24,ExitType,YTM Sell Solve
EXIT-YTMSellSolve-24,DPOPct,0.25
EXIT-YTMSellSolve-24,UserExit,750000
EXIT-YTMSellSolve-24,ValCapPct,0.6
EXIT-YTMSellSolve-24,YTMTgt,0.12
EXIT-YTMSellSolve-24,AddAccrued,No
EXIT-YTMSellSolve-24,LiqAcrM,18
EXIT-YTMSellSolve-24,StartMonth,1
EXIT-YTMSellSolve-24,ExitMonth,24
EXIT-YTMSellSolve-24,BidOverride,
EXIT-YTMSellSolve-24,Yield,0.15
EXIT-YTMSellSolve-24,CutoffDt,2026-07-01
EXIT-YTMSellSolve-24,AnchorDt,2026-07-31
EXIT-YTMSellSolve-24,MinMonthsJ2,0
EXIT-YTMSellSolve-24,HurdleYTM,0.1
EXIT-YTMSellSolve-24,HurdleCY,0.09
EXIT-YTMSellSolve-24,HurdleMOIC,1.3
EXIT-YTMSellSolve-24,RelColl,2500000.0
EXIT-ValueCap-24,LoanNo,000005100324610
EXIT-ValueCap-24,UPB,1000000.0
EXIT-ValueCap-24,IntBal,40000.0
EXIT-ValueCap-24,CRate,0.0725
EXIT-ValueCap-24,DRate,0.1225
EXIT-ValueCap-24,CPmt,7500.0
EXIT-ValueCap-24,MatDt,2031-06-01
EXIT-ValueCap-24,T3,22000.0
EXIT-ValueCap-24,T6,44000.0
EXIT-ValueCap-24,T12,88000.0
EXIT-ValueCap-24,T24,176000.0
EXIT-ValueCap-24,PmtSel,Current PMT
EXIT-ValueCap-24,UserPmt,0.0
EXIT-ValueCap-24,TermMonths,0
EXIT-ValueCap-24,MTrailSel,12M
EXIT-ValueCap-24,TrailPct,1.0
EXIT-ValueCap-24,RateSel,Contractual
EXIT-ValueCap-24,UserRate,0.0
EXIT-ValueCap-24,LegalInit,0.0
EXIT-ValueCap-24,LegalStartM,0
EXIT-ValueCap-24,HoldCost,0.0
EXIT-ValueCap-24,LegalEndM,0
EXIT-ValueCap-24,AddBack,No
EXIT-ValueCap-24,ExitType,Value Cap
EXIT-ValueCap-24,DPOPct,0.25
EXIT-ValueCap-24,UserExit,750000
EXIT-ValueCap-24,ValCapPct,0.6
EXIT-ValueCap-24,YTMTgt,0.12
EXIT-ValueCap-24,AddAccrued,No
EXIT-ValueCap-24,LiqAcrM,18
EXIT-ValueCap-24,StartMonth,1
EXIT-ValueCap-24,ExitMonth,24
EXIT-ValueCap-24,BidOverride,
EXIT-ValueCap-24,Yield,0.15
EXIT-ValueCap-24,CutoffDt,2026-07-01
EXIT-ValueCap-24,AnchorDt,2026-07-31
EXIT-ValueCap-24,MinMonthsJ2,0
EXIT-ValueCap-24,HurdleYTM,0.1
EXIT-ValueCap-24,HurdleCY,0.09
EXIT-ValueCap-24,HurdleMOIC,1.3
EXIT-ValueCap-24,RelColl,2500000.0
EXIT-Liquidation-24,LoanNo,000005100324610
EXIT-Liquidation-24,UPB,1000000.0
EXIT-Liquidation-24,IntBal,40000.0
EXIT-Liquidation-24,CRate,0.0725
EXIT-Liquidation-24,DRate,0.1225
EXIT-Liquidation-24,CPmt,7500.0
EXIT-Liquidation-24,MatDt,2031-06-01
EXIT-Liquidation-24,T3,22000.0
EXIT-Liquidation-24,T6,44000.0
EXIT-Liquidation-24,T12,88000.0
EXIT-Liquidation-24,T24,176000.0
EXIT-Liquidation-24,PmtSel,Current PMT
EXIT-Liquidation-24,UserPmt,0.0
EXIT-Liquidation-24,TermMonths,0
EXIT-Liquidation-24,MTrailSel,12M
EXIT-Liquidation-24,TrailPct,1.0
EXIT-Liquidation-24,RateSel,Contractual
EXIT-Liquidation-24,UserRate,0.0
EXIT-Liquidation-24,LegalInit,0.0
EXIT-Liquidation-24,LegalStartM,0
EXIT-Liquidation-24,HoldCost,0.0
EXIT-Liquidation-24,LegalEndM,0
EXIT-Liquidation-24,AddBack,No
EXIT-Liquidation-24,ExitType,Liquidation
EXIT-Liquidation-24,DPOPct,0.25
EXIT-Liquidation-24,UserExit,750000
EXIT-Liquidation-24,ValCapPct,0.6
EXIT-Liquidation-24,YTMTgt,0.12
EXIT-Liquidation-24,AddAccrued,No
EXIT-Liquidation-24,LiqAcrM,18
EXIT-Liquidation-24,StartMonth,1
EXIT-Liquidation-24,ExitMonth,24
EXIT-Liquidation-24,BidOverride,
EXIT-Liquidation-24,Yield,0.15
EXIT-Liquidation-24,CutoffDt,2026-07-01
EXIT-Liquidation-24,AnchorDt,2026-07-31
EXIT-Liquidation-24,MinMonthsJ2,0
EXIT-Liquidation-24,HurdleYTM,0.1
EXIT-Liquidation-24,HurdleCY,0.09
EXIT-Liquidation-24,HurdleMOIC,1.3
EXIT-Liquidation-24,RelColl,2500000.0
EXIT-IRRSolve-24,LoanNo,000005100324610
EXIT-IRRSolve-24,UPB,1000000.0
EXIT-IRRSolve-24,IntBal,40000.0
EXIT-IRRSolve-24,CRate,0.0725
EXIT-IRRSolve-24,DRate,0.1225
EXIT-IRRSolve-24,CPmt,7500.0
EXIT-IRRSolve-24,MatDt,2031-06-01
EXIT-IRRSolve-24,T3,22000.0
EXIT-IRRSolve-24,T6,44000.0
EXIT-IRRSolve-24,T12,88000.0
EXIT-IRRSolve-24,T24,176000.0
EXIT-IRRSolve-24,PmtSel,Current PMT
EXIT-IRRSolve-24,UserPmt,0.0
EXIT-IRRSolve-24,TermMonths,0
EXIT-IRRSolve-24,MTrailSel,12M
EXIT-IRRSolve-24,TrailPct,1.0
EXIT-IRRSolve-24,RateSel,Contractual
EXIT-IRRSolve-24,UserRate,0.0
EXIT-IRRSolve-24,LegalInit,0.0
EXIT-IRRSolve-24,LegalStartM,0
EXIT-IRRSolve-24,HoldCost,0.0
EXIT-IRRSolve-24,LegalEndM,0
EXIT-IRRSolve-24,AddBack,No
EXIT-IRRSolve-24,ExitType,IRR Solve
EXIT-IRRSolve-24,DPOPct,0.25
EXIT-IRRSolve-24,UserExit,750000
EXIT-IRRSolve-24,ValCapPct,0.6
EXIT-IRRSolve-24,YTMTgt,0.12
EXIT-IRRSolve-24,AddAccrued,No
EXIT-IRRSolve-24,LiqAcrM,18
EXIT-IRRSolve-24,StartMonth,1
EXIT-IRRSolve-24,ExitMonth,24
EXIT-IRRSolve-24,BidOverride,
EXIT-IRRSolve-24,Yield,0.15
EXIT-IRRSolve-24,CutoffDt,2026-07-01
EXIT-IRRSolve-24,AnchorDt,2026-07-31
EXIT-IRRSolve-24,MinMonthsJ2,0
EXIT-IRRSolve-24,HurdleYTM,0.1
EXIT-IRRSolve-24,HurdleCY,0.09
EXIT-IRRSolve-24,HurdleMOIC,1.3
EXIT-IRRSolve-24,RelColl,2500000.0
EXIT-PIF-1,LoanNo,000005100324610
EXIT-PIF-1,UPB,1000000.0
EXIT-PIF-1,IntBal,40000.0
EXIT-PIF-1,CRate,0.0725
EXIT-PIF-1,DRate,0.1225
EXIT-PIF-1,CPmt,7500.0
EXIT-PIF-1,MatDt,2031-06-01
EXIT-PIF-1,T3,22000.0
EXIT-PIF-1,T6,44000.0
EXIT-PIF-1,T12,88000.0
EXIT-PIF-1,T24,176000.0
EXIT-PIF-1,PmtSel,Current PMT
EXIT-PIF-1,UserPmt,0.0
EXIT-PIF-1,TermMonths,0
EXIT-PIF-1,MTrailSel,12M
EXIT-PIF-1,TrailPct,1.0
EXIT-PIF-1,RateSel,Contractual
EXIT-PIF-1,UserRate,0.0
EXIT-PIF-1,LegalInit,0.0
EXIT-PIF-1,LegalStartM,0
EXIT-PIF-1,HoldCost,0.0
EXIT-PIF-1,LegalEndM,0
EXIT-PIF-1,AddBack,No
EXIT-PIF-1,ExitType,PIF
EXIT-PIF-1,DPOPct,0.25
EXIT-PIF-1,UserExit,0.0
EXIT-PIF-1,ValCapPct,1.0
EXIT-PIF-1,YTMTgt,0.15
EXIT-PIF-1,AddAccrued,No
EXIT-PIF-1,LiqAcrM,0
EXIT-PIF-1,StartMonth,1
EXIT-PIF-1,ExitMonth,1
EXIT-PIF-1,BidOverride,
EXIT-PIF-1,Yield,0.15
EXIT-PIF-1,CutoffDt,2026-07-01
EXIT-PIF-1,AnchorDt,2026-07-31
EXIT-PIF-1,MinMonthsJ2,0
EXIT-PIF-1,HurdleYTM,0.1
EXIT-PIF-1,HurdleCY,0.09
EXIT-PIF-1,HurdleMOIC,1.3
EXIT-PIF-1,RelColl,2500000.0
EXIT-DPO-1,LoanNo,000005100324610
EXIT-DPO-1,UPB,1000000.0
EXIT-DPO-1,IntBal,40000.0
EXIT-DPO-1,CRate,0.0725
EXIT-DPO-1,DRate,0.1225
EXIT-DPO-1,CPmt,7500.0
EXIT-DPO-1,MatDt,2031-06-01
EXIT-DPO-1,T3,22000.0
EXIT-DPO-1,T6,44000.0
EXIT-DPO-1,T12,88000.0
EXIT-DPO-1,T24,176000.0
EXIT-DPO-1,PmtSel,Current PMT
EXIT-DPO-1,UserPmt,0.0
EXIT-DPO-1,TermMonths,0
EXIT-DPO-1,MTrailSel,12M
EXIT-DPO-1,TrailPct,1.0
EXIT-DPO-1,RateSel,Contractual
EXIT-DPO-1,UserRate,0.0
EXIT-DPO-1,LegalInit,0.0
EXIT-DPO-1,LegalStartM,0
EXIT-DPO-1,HoldCost,0.0
EXIT-DPO-1,LegalEndM,0
EXIT-DPO-1,AddBack,No
EXIT-DPO-1,ExitType,DPO
EXIT-DPO-1,DPOPct,0.3
EXIT-DPO-1,UserExit,0.0
EXIT-DPO-1,ValCapPct,1.0
EXIT-DPO-1,YTMTgt,0.15
EXIT-DPO-1,AddAccrued,No
EXIT-DPO-1,LiqAcrM,0
EXIT-DPO-1,StartMonth,1
EXIT-DPO-1,ExitMonth,1
EXIT-DPO-1,BidOverride,
EXIT-DPO-1,Yield,0.15
EXIT-DPO-1,CutoffDt,2026-07-01
EXIT-DPO-1,AnchorDt,2026-07-31
EXIT-DPO-1,MinMonthsJ2,0
EXIT-DPO-1,HurdleYTM,0.1
EXIT-DPO-1,HurdleCY,0.09
EXIT-DPO-1,HurdleMOIC,1.3
EXIT-DPO-1,RelColl,2500000.0
EXIT-PIF-12,LoanNo,000005100324610
EXIT-PIF-12,UPB,1000000.0
EXIT-PIF-12,IntBal,40000.0
EXIT-PIF-12,CRate,0.0725
EXIT-PIF-12,DRate,0.1225
EXIT-PIF-12,CPmt,7500.0
EXIT-PIF-12,MatDt,2031-06-01
EXIT-PIF-12,T3,22000.0
EXIT-PIF-12,T6,44000.0
EXIT-PIF-12,T12,88000.0
EXIT-PIF-12,T24,176000.0
EXIT-PIF-12,PmtSel,Current PMT
EXIT-PIF-12,UserPmt,0.0
EXIT-PIF-12,TermMonths,0
EXIT-PIF-12,MTrailSel,12M
EXIT-PIF-12,TrailPct,1.0
EXIT-PIF-12,RateSel,Contractual
EXIT-PIF-12,UserRate,0.0
EXIT-PIF-12,LegalInit,0.0
EXIT-PIF-12,LegalStartM,0
EXIT-PIF-12,HoldCost,0.0
EXIT-PIF-12,LegalEndM,0
EXIT-PIF-12,AddBack,No
EXIT-PIF-12,ExitType,PIF
EXIT-PIF-12,DPOPct,0.25
EXIT-PIF-12,UserExit,0.0
EXIT-PIF-12,ValCapPct,1.0
EXIT-PIF-12,YTMTgt,0.15
EXIT-PIF-12,AddAccrued,No
EXIT-PIF-12,LiqAcrM,0
EXIT-PIF-12,StartMonth,1
EXIT-PIF-12,ExitMonth,12
EXIT-PIF-12,BidOverride,
EXIT-PIF-12,Yield,0.15
EXIT-PIF-12,CutoffDt,2026-07-01
EXIT-PIF-12,AnchorDt,2026-07-31
EXIT-PIF-12,MinMonthsJ2,0
EXIT-PIF-12,HurdleYTM,0.1
EXIT-PIF-12,HurdleCY,0.09
EXIT-PIF-12,HurdleMOIC,1.3
EXIT-PIF-12,RelColl,2500000.0
EXIT-DPO-12,LoanNo,000005100324610
EXIT-DPO-12,UPB,1000000.0
EXIT-DPO-12,IntBal,40000.0
EXIT-DPO-12,CRate,0.0725
EXIT-DPO-12,DRate,0.1225
EXIT-DPO-12,CPmt,7500.0
EXIT-DPO-12,MatDt,2031-06-01
EXIT-DPO-12,T3,22000.0
EXIT-DPO-12,T6,44000.0
EXIT-DPO-12,T12,88000.0
EXIT-DPO-12,T24,176000.0
EXIT-DPO-12,PmtSel,Current PMT
EXIT-DPO-12,UserPmt,0.0
EXIT-DPO-12,TermMonths,0
EXIT-DPO-12,MTrailSel,12M
EXIT-DPO-12,TrailPct,1.0
EXIT-DPO-12,RateSel,Contractual
EXIT-DPO-12,UserRate,0.0
EXIT-DPO-12,LegalInit,0.0
EXIT-DPO-12,LegalStartM,0
EXIT-DPO-12,HoldCost,0.0
EXIT-DPO-12,LegalEndM,0
EXIT-DPO-12,AddBack,No
EXIT-DPO-12,ExitType,DPO
EXIT-DPO-12,DPOPct,0.3
EXIT-DPO-12,UserExit,0.0
EXIT-DPO-12,ValCapPct,1.0
EXIT-DPO-12,YTMTgt,0.15
EXIT-DPO-12,AddAccrued,No
EXIT-DPO-12,LiqAcrM,0
EXIT-DPO-12,StartMonth,1
EXIT-DPO-12,ExitMonth,12
EXIT-DPO-12,BidOverride,
EXIT-DPO-12,Yield,0.15
EXIT-DPO-12,CutoffDt,2026-07-01
EXIT-DPO-12,AnchorDt,2026-07-31
EXIT-DPO-12,MinMonthsJ2,0
EXIT-DPO-12,HurdleYTM,0.1
EXIT-DPO-12,HurdleCY,0.09
EXIT-DPO-12,HurdleMOIC,1.3
EXIT-DPO-12,RelColl,2500000.0
EXIT-PIF-60,LoanNo,000005100324610
EXIT-PIF-60,UPB,1000000.0
EXIT-PIF-60,IntBal,40000.0
EXIT-PIF-60,CRate,0.0725
EXIT-PIF-60,DRate,0.1225
EXIT-PIF-60,CPmt,7500.0
EXIT-PIF-60,MatDt,2031-06-01
EXIT-PIF-60,T3,22000.0
EXIT-PIF-60,T6,44000.0
EXIT-PIF-60,T12,88000.0
EXIT-PIF-60,T24,176000.0
EXIT-PIF-60,PmtSel,Current PMT
EXIT-PIF-60,UserPmt,0.0
EXIT-PIF-60,TermMonths,0
EXIT-PIF-60,MTrailSel,12M
EXIT-PIF-60,TrailPct,1.0
EXIT-PIF-60,RateSel,Contractual
EXIT-PIF-60,UserRate,0.0
EXIT-PIF-60,LegalInit,0.0
EXIT-PIF-60,LegalStartM,0
EXIT-PIF-60,HoldCost,0.0
EXIT-PIF-60,LegalEndM,0
EXIT-PIF-60,AddBack,No
EXIT-PIF-60,ExitType,PIF
EXIT-PIF-60,DPOPct,0.25
EXIT-PIF-60,UserExit,0.0
EXIT-PIF-60,ValCapPct,1.0
EXIT-PIF-60,YTMTgt,0.15
EXIT-PIF-60,AddAccrued,No
EXIT-PIF-60,LiqAcrM,0
EXIT-PIF-60,StartMonth,1
EXIT-PIF-60,ExitMonth,60
EXIT-PIF-60,BidOverride,
EXIT-PIF-60,Yield,0.15
EXIT-PIF-60,CutoffDt,2026-07-01
EXIT-PIF-60,AnchorDt,2026-07-31
EXIT-PIF-60,MinMonthsJ2,0
EXIT-PIF-60,HurdleYTM,0.1
EXIT-PIF-60,HurdleCY,0.09
EXIT-PIF-60,HurdleMOIC,1.3
EXIT-PIF-60,RelColl,2500000.0
EXIT-DPO-60,LoanNo,000005100324610
EXIT-DPO-60,UPB,1000000.0
EXIT-DPO-60,IntBal,40000.0
EXIT-DPO-60,CRate,0.0725
EXIT-DPO-60,DRate,0.1225
EXIT-DPO-60,CPmt,7500.0
EXIT-DPO-60,MatDt,2031-06-01
EXIT-DPO-60,T3,22000.0
EXIT-DPO-60,T6,44000.0
EXIT-DPO-60,T12,88000.0
EXIT-DPO-60,T24,176000.0
EXIT-DPO-60,PmtSel,Current PMT
EXIT-DPO-60,UserPmt,0.0
EXIT-DPO-60,TermMonths,0
EXIT-DPO-60,MTrailSel,12M
EXIT-DPO-60,TrailPct,1.0
EXIT-DPO-60,RateSel,Contractual
EXIT-DPO-60,UserRate,0.0
EXIT-DPO-60,LegalInit,0.0
EXIT-DPO-60,LegalStartM,0
EXIT-DPO-60,HoldCost,0.0
EXIT-DPO-60,LegalEndM,0
EXIT-DPO-60,AddBack,No
EXIT-DPO-60,ExitType,DPO
EXIT-DPO-60,DPOPct,0.3
EXIT-DPO-60,UserExit,0.0
EXIT-DPO-60,ValCapPct,1.0
EXIT-DPO-60,YTMTgt,0.15
EXIT-DPO-60,AddAccrued,No
EXIT-DPO-60,LiqAcrM,0
EXIT-DPO-60,StartMonth,1
EXIT-DPO-60,ExitMonth,60
EXIT-DPO-60,BidOverride,
EXIT-DPO-60,Yield,0.15
EXIT-DPO-60,CutoffDt,2026-07-01
EXIT-DPO-60,AnchorDt,2026-07-31
EXIT-DPO-60,MinMonthsJ2,0
EXIT-DPO-60,HurdleYTM,0.1
EXIT-DPO-60,HurdleCY,0.09
EXIT-DPO-60,HurdleMOIC,1.3
EXIT-DPO-60,RelColl,2500000.0
EXIT-START6-EXIT24,LoanNo,000005100324610
EXIT-START6-EXIT24,UPB,1000000.0
EXIT-START6-EXIT24,IntBal,40000.0
EXIT-START6-EXIT24,CRate,0.0725
EXIT-START6-EXIT24,DRate,0.1225
EXIT-START6-EXIT24,CPmt,7500.0
EXIT-START6-EXIT24,MatDt,2031-06-01
EXIT-START6-EXIT24,T3,22000.0
EXIT-START6-EXIT24,T6,44000.0
EXIT-START6-EXIT24,T12,88000.0
EXIT-START6-EXIT24,T24,176000.0
EXIT-START6-EXIT24,PmtSel,Current PMT
EXIT-START6-EXIT24,UserPmt,0.0
EXIT-START6-EXIT24,TermMonths,0
EXIT-START6-EXIT24,MTrailSel,12M
EXIT-START6-EXIT24,TrailPct,1.0
EXIT-START6-EXIT24,RateSel,Contractual
EXIT-START6-EXIT24,UserRate,0.0
EXIT-START6-EXIT24,LegalInit,0.0
EXIT-START6-EXIT24,LegalStartM,0
EXIT-START6-EXIT24,HoldCost,0.0
EXIT-START6-EXIT24,LegalEndM,0
EXIT-START6-EXIT24,AddBack,No
EXIT-START6-EXIT24,ExitType,PIF
EXIT-START6-EXIT24,DPOPct,0.25
EXIT-START6-EXIT24,UserExit,0.0
EXIT-START6-EXIT24,ValCapPct,1.0
EXIT-START6-EXIT24,YTMTgt,0.15
EXIT-START6-EXIT24,AddAccrued,No
EXIT-START6-EXIT24,LiqAcrM,0
EXIT-START6-EXIT24,StartMonth,6
EXIT-START6-EXIT24,ExitMonth,24
EXIT-START6-EXIT24,BidOverride,
EXIT-START6-EXIT24,Yield,0.15
EXIT-START6-EXIT24,CutoffDt,2026-07-01
EXIT-START6-EXIT24,AnchorDt,2026-07-31
EXIT-START6-EXIT24,MinMonthsJ2,0
EXIT-START6-EXIT24,HurdleYTM,0.1
EXIT-START6-EXIT24,HurdleCY,0.09
EXIT-START6-EXIT24,HurdleMOIC,1.3
EXIT-START6-EXIT24,RelColl,2500000.0
EXIT-USERENTER-0,LoanNo,000005100324610
EXIT-USERENTER-0,UPB,1000000.0
EXIT-USERENTER-0,IntBal,40000.0
EXIT-USERENTER-0,CRate,0.0725
EXIT-USERENTER-0,DRate,0.1225
EXIT-USERENTER-0,CPmt,7500.0
EXIT-USERENTER-0,MatDt,2031-06-01
EXIT-USERENTER-0,T3,22000.0
EXIT-USERENTER-0,T6,44000.0
EXIT-USERENTER-0,T12,88000.0
EXIT-USERENTER-0,T24,176000.0
EXIT-USERENTER-0,PmtSel,Current PMT
EXIT-USERENTER-0,UserPmt,0.0
EXIT-USERENTER-0,TermMonths,0
EXIT-USERENTER-0,MTrailSel,12M
EXIT-USERENTER-0,TrailPct,1.0
EXIT-USERENTER-0,RateSel,Contractual
EXIT-USERENTER-0,UserRate,0.0
EXIT-USERENTER-0,LegalInit,0.0
EXIT-USERENTER-0,LegalStartM,0
EXIT-USERENTER-0,HoldCost,0.0
EXIT-USERENTER-0,LegalEndM,0
EXIT-USERENTER-0,AddBack,No
EXIT-USERENTER-0,ExitType,User Enter
EXIT-USERENTER-0,DPOPct,0.25
EXIT-USERENTER-0,UserExit,0
EXIT-USERENTER-0,ValCapPct,1.0
EXIT-USERENTER-0,YTMTgt,0.15
EXIT-USERENTER-0,AddAccrued,No
EXIT-USERENTER-0,LiqAcrM,0
EXIT-USERENTER-0,StartMonth,1
EXIT-USERENTER-0,ExitMonth,24
EXIT-USERENTER-0,BidOverride,
EXIT-USERENTER-0,Yield,0.15
EXIT-USERENTER-0,CutoffDt,2026-07-01
EXIT-USERENTER-0,AnchorDt,2026-07-31
EXIT-USERENTER-0,MinMonthsJ2,0
EXIT-USERENTER-0,HurdleYTM,0.1
EXIT-USERENTER-0,HurdleCY,0.09
EXIT-USERENTER-0,HurdleMOIC,1.3
EXIT-USERENTER-0,RelColl,2500000.0
EXIT-ACCRUED-YES,LoanNo,000005100324610
EXIT-ACCRUED-YES,UPB,1000000.0
EXIT-ACCRUED-YES,IntBal,40000.0
EXIT-ACCRUED-YES,CRate,0.0725
EXIT-ACCRUED-YES,DRate,0.1225
EXIT-ACCRUED-YES,CPmt,7500.0
EXIT-ACCRUED-YES,MatDt,2031-06-01
EXIT-ACCRUED-YES,T3,22000.0
EXIT-ACCRUED-YES,T6,44000.0
EXIT-ACCRUED-YES,T12,88000.0
EXIT-ACCRUED-YES,T24,176000.0
EXIT-ACCRUED-YES,PmtSel,Current PMT
EXIT-ACCRUED-YES,UserPmt,0.0
EXIT-ACCRUED-YES,TermMonths,0
EXIT-ACCRUED-YES,MTrailSel,12M
EXIT-ACCRUED-YES,TrailPct,1.0
EXIT-ACCRUED-YES,RateSel,Contractual
EXIT-ACCRUED-YES,UserRate,0.0
