case_id,field,expected,tol
EXIT-DPO-24,Net23,7500.0,0.005
EXIT-DPO-24,Net24,727467.7399560846,0.005
EXIT-DPO-24,Net25,0.0,0.005
EXIT-DPO-24,Net36,0.0,0.005
EXIT-DPO-24,Net60,0.0,0.005
EXIT-DPO-24,Opt06_Bid,731302.00968263,0.005
EXIT-DPO-24,Opt12_Bid,715920.258197068,0.005
EXIT-DPO-24,Opt24_Bid,689039.7049226271,0.005
EXIT-DPO-24,Opt36_Bid,666682.1159636505,0.005
EXIT-DPO-24,Opt60_Bid,632892.9817892057,0.005
EXIT-YTMSellSolve-24,PmtPull,7500.0,0.005
EXIT-YTMSellSolve-24,ExitVal,853766.5304455521,0.005
EXIT-YTMSellSolve-24,BidNPV,782778.2969923232,0.005
EXIT-YTMSellSolve-24,BidPct,0.7827782969923233,1e-09
EXIT-YTMSellSolve-24,CY12,0.11497508342503604,1e-09
EXIT-YTMSellSolve-24,MOIC,1.3110564439366625,1.3110564439366626e-09
EXIT-YTMSellSolve-24,ImpDPO,0.11978928732589744,1e-09
EXIT-YTMSellSolve-24,BidMwVx,0.31311131879692927,1e-09
EXIT-YTMSellSolve-24,F12P12,1.0227272727272727,1.0227272727272727e-09
EXIT-YTMSellSolve-24,MTM,59.0,0.0
EXIT-YTMSellSolve-24,MTA,271.0,0.0
EXIT-YTMSellSolve-24,UseMTM,59.0,0.0
EXIT-YTMSellSolve-24,BalAtExit,896995.9530129714,0.005
EXIT-YTMSellSolve-24,YtmIRR,0.13599017149249382,1e-06
EXIT-YTMSellSolve-24,YtmXIRR,0.144641205246536,1e-06
EXIT-YTMSellSolve-24,SellYTM,0.15000000000177283,1e-06
EXIT-YTMSellSolve-24,MinHYTM,1.0,0.0
EXIT-YTMSellSolve-24,MinHCY,1.0,0.0
EXIT-YTMSellSolve-24,MinHMOIC,24.0,0.0
EXIT-YTMSellSolve-24,MinHAll,24.0,0.0
EXIT-YTMSellSolve-24,Net01,7500.0,0.005
EXIT-YTMSellSolve-24,Net02,7500.0,0.005
EXIT-YTMSellSolve-24,Net12,7500.0,0.005
EXIT-YTMSellSolve-24,Net23,7500.0,0.005
EXIT-YTMSellSolve-24,Net24,853766.5304455521,0.005
EXIT-YTMSellSolve-24,Net25,0.0,0.005
EXIT-YTMSellSolve-24,Net36,0.0,0.005
EXIT-YTMSellSolve-24,Net60,0.0,0.005
EXIT-YTMSellSolve-24,Opt06_Bid,812784.6621569474,0.005
EXIT-YTMSellSolve-24,Opt12_Bid,802099.1721079308,0.005
EXIT-YTMSellSolve-24,Opt24_Bid,782778.2969923232,0.005
EXIT-YTMSellSolve-24,Opt36_Bid,765879.8229767091,0.005
EXIT-YTMSellSolve-24,Opt60_Bid,739957.248572423,0.005
EXIT-ValueCap-24,PmtPull,7500.0,0.005
EXIT-ValueCap-24,ExitVal,1500000.0,0.005
EXIT-ValueCap-24,BidNPV,1262410.8837303617,0.005
EXIT-ValueCap-24,BidPct,1.2624108837303618,1.2624108837303618e-09
EXIT-ValueCap-24,CY12,0.07129216102292658,1e-09
EXIT-ValueCap-24,MOIC,1.3248459923427192,1.3248459923427192e-09
EXIT-ValueCap-24,ImpDPO,-0.5464603283547849,1e-09
EXIT-ValueCap-24,BidMwVx,0.5049643534921446,1e-09
EXIT-ValueCap-24,F12P12,1.0227272727272727,1.0227272727272727e-09
EXIT-ValueCap-24,MTM,59.0,0.0
EXIT-ValueCap-24,MTA,271.0,0.0
EXIT-ValueCap-24,UseMTM,59.0,0.0
EXIT-ValueCap-24,BalAtExit,896995.9530129714,0.005
EXIT-ValueCap-24,YtmIRR,0.014450575572436031,1e-06
EXIT-ValueCap-24,YtmXIRR,0.014532860627500376,1e-06
EXIT-ValueCap-24,SellYTM,0.15000000000177283,1e-06
EXIT-ValueCap-24,MinHYTM,,0.0
EXIT-ValueCap-24,MinHCY,1.0,0.0
EXIT-ValueCap-24,MinHMOIC,23.0,0.0
EXIT-ValueCap-24,MinHAll,,0.0
EXIT-ValueCap-24,Net01,7500.0,0.005
EXIT-ValueCap-24,Net02,7500.0,0.005
EXIT-ValueCap-24,Net12,7500.0,0.005
EXIT-ValueCap-24,Net23,7500.0,0.005
EXIT-ValueCap-24,Net24,1500000.0,0.005
EXIT-ValueCap-24,Net25,0.0,0.005
EXIT-ValueCap-24,Net36,0.0,0.005
EXIT-ValueCap-24,Net60,0.0,0.005
EXIT-ValueCap-24,Opt06_Bid,1428396.076823713,0.005
EXIT-ValueCap-24,Opt12_Bid,1368896.4258789006,0.005
EXIT-ValueCap-24,Opt24_Bid,1262410.8837303617,0.005
EXIT-ValueCap-24,Opt36_Bid,1170672.6733485258,0.005
EXIT-ValueCap-24,Opt60_Bid,1023551.58529251,0.005
EXIT-Liquidation-24,PmtPull,7500.0,0.005
EXIT-Liquidation-24,ExitVal,1114518.8661396045,0.005
EXIT-Liquidation-24,BidNPV,976307.9161764723,0.005
EXIT-Liquidation-24,BidPct,0.9763079161764723,1e-09
EXIT-Liquidation-24,CY12,0.09218403180880495,1e-09
EXIT-Liquidation-24,MOIC,1.3182509788305041,1.3182509788305042e-09
EXIT-Liquidation-24,ImpDPO,-0.14903947445857013,1e-09
EXIT-Liquidation-24,BidMwVx,0.39052316647058893,1e-09
EXIT-Liquidation-24,F12P12,1.0227272727272727,1.0227272727272727e-09
EXIT-Liquidation-24,MTM,59.0,0.0
EXIT-Liquidation-24,MTA,271.0,0.0
EXIT-Liquidation-24,UseMTM,59.0,0.0
EXIT-Liquidation-24,BalAtExit,896995.9530129714,0.005
EXIT-Liquidation-24,YtmIRR,0.0785952549443657,1e-06
EXIT-Liquidation-24,YtmXIRR,0.08140730655460782,1e-06
EXIT-Liquidation-24,SellYTM,0.15000000000177283,1e-06
EXIT-Liquidation-24,MinHYTM,43.0,0.0
EXIT-Liquidation-24,MinHCY,1.0,0.0
EXIT-Liquidation-24,MinHMOIC,23.0,0.0
EXIT-Liquidation-24,MinHAll,43.0,0.0
EXIT-Liquidation-24,Net01,7500.0,0.005
EXIT-Liquidation-24,Net02,7500.0,0.005
EXIT-Liquidation-24,Net12,7500.0,0.005
EXIT-Liquidation-24,Net23,7500.0,0.005
EXIT-Liquidation-24,Net24,1114518.8661396045,0.005
EXIT-Liquidation-24,Net25,0.0,0.005
EXIT-Liquidation-24,Net36,0.0,0.005
EXIT-Liquidation-24,Net60,0.0,0.005
EXIT-Liquidation-24,Opt06_Bid,1070602.1732052166,0.005
EXIT-Liquidation-24,Opt12_Bid,1036801.1137567672,0.005
EXIT-Liquidation-24,Opt24_Bid,976307.9161764723,0.005
EXIT-Liquidation-24,Opt36_Bid,924192.5061938674,0.005
EXIT-Liquidation-24,Opt60_Bid,840614.7277609422,0.005
EXIT-IRRSolve-24,PmtPull,7500.0,0.005
EXIT-IRRSolve-24,ExitVal,919712.2335710588,0.005
EXIT-IRRSolve-24,BidNPV,831723.0045391994,0.005
EXIT-IRRSolve-24,BidPct,0.8317230045391995,1e-09
EXIT-IRRSolve-24,CY12,0.10820910268060076,1e-09
EXIT-IRRSolve-24,MOIC,1.3131922859055445,1.3131922859055446e-09
EXIT-IRRSolve-24,ImpDPO,0.0518010115198585,1e-09
EXIT-IRRSolve-24,BidMwVx,0.33268920181567974,1e-09
EXIT-IRRSolve-24,F12P12,1.0227272727272727,1.0227272727272727e-09
EXIT-IRRSolve-24,MTM,59.0,0.0
EXIT-IRRSolve-24,MTA,271.0,0.0
EXIT-IRRSolve-24,UseMTM,59.0,0.0
EXIT-IRRSolve-24,BalAtExit,896995.9530129714,0.005
EXIT-IRRSolve-24,YtmIRR,0.12000000000220948,1e-06
EXIT-IRRSolve-24,YtmXIRR,0.126692552453401,1e-06
EXIT-IRRSolve-24,SellYTM,0.15000000000177283,1e-06
EXIT-IRRSolve-24,MinHYTM,1.0,0.0
EXIT-IRRSolve-24,MinHCY,1.0,0.0
EXIT-IRRSolve-24,MinHMOIC,24.0,0.0
EXIT-IRRSolve-24,MinHAll,24.0,0.0
EXIT-IRRSolve-24,Net01,7500.0,0.005
EXIT-IRRSolve-24,Net02,7500.0,0.005
EXIT-IRRSolve-24,Net12,7500.0,0.005
EXIT-IRRSolve-24,Net23,7500.0,0.005
EXIT-IRRSolve-24,Net24,919712.2335710588,0.005
EXIT-IRRSolve-24,Net25,0.0,0.005
EXIT-IRRSolve-24,Net36,0.0,0.005
EXIT-IRRSolve-24,Net60,0.0,0.005
EXIT-IRRSolve-24,Opt06_Bid,831723.004539199,0.005
EXIT-IRRSolve-24,Opt12_Bid,831723.0045391992,0.005
EXIT-IRRSolve-24,Opt24_Bid,831723.0045391994,0.005
EXIT-IRRSolve-24,Opt36_Bid,831723.0045391996,0.005
EXIT-IRRSolve-24,Opt60_Bid,831723.0045392001,0.005
EXIT-PIF-1,PmtPull,7500.0,0.005
EXIT-PIF-1,ExitVal,1006041.6666666666,0.005
EXIT-PIF-1,BidNPV,993621.3991769548,0.005
EXIT-PIF-1,BidPct,0.9936213991769548,1e-09
EXIT-PIF-1,CY12,1.0125,1.0125e-09
EXIT-PIF-1,MOIC,1.0125,1.0125e-09
EXIT-PIF-1,ImpDPO,0.0,1e-09
EXIT-PIF-1,BidMwVx,0.3974485596707819,1e-09
EXIT-PIF-1,F12P12,11.432291666666666,1.1432291666666668e-08
EXIT-PIF-1,MTM,59.0,0.0
EXIT-PIF-1,MTA,271.0,0.0
EXIT-PIF-1,UseMTM,59.0,0.0
EXIT-PIF-1,BalAtExit,896995.9530129714,0.005
EXIT-PIF-1,YtmIRR,0.07412431156712884,1e-06
EXIT-PIF-1,YtmXIRR,0.076618392671916,1e-06
EXIT-PIF-1,SellYTM,0.15000000000177283,1e-06
EXIT-PIF-1,MinHYTM,18.0,0.0
EXIT-PIF-1,MinHCY,1.0,0.0
EXIT-PIF-1,MinHMOIC,23.0,0.0
EXIT-PIF-1,MinHAll,23.0,0.0
EXIT-PIF-1,Net01,1006041.6666666666,0.005
EXIT-PIF-1,Net02,0.0,0.005
EXIT-PIF-1,Net12,0.0,0.005
EXIT-PIF-1,Net23,0.0,0.005
EXIT-PIF-1,Net24,0.0,0.005
EXIT-PIF-1,Net25,0.0,0.005
EXIT-PIF-1,Net36,0.0,0.005
EXIT-PIF-1,Net60,0.0,0.005
EXIT-PIF-1,Opt06_Bid,963024.7586320802,0.005
EXIT-PIF-1,Opt12_Bid,929015.8358487263,0.005
EXIT-PIF-1,Opt24_Bid,869014.5129561055,0.005
EXIT-PIF-1,Opt36_Bid,818389.8424087621,0.005
EXIT-PIF-1,Opt60_Bid,739957.248572423,0.005
EXIT-DPO-1,PmtPull,7500.0,0.005
EXIT-DPO-1,ExitVal,704229.1666666666,0.005
EXIT-DPO-1,BidNPV,695534.9794238684,0.005
EXIT-DPO-1,BidPct,0.6955349794238683,1e-09
EXIT-DPO-1,CY12,1.0125,1.0125e-09
EXIT-DPO-1,MOIC,1.0125,1.0125e-09
EXIT-DPO-1,ImpDPO,0.30000000000000004,1e-09
EXIT-DPO-1,BidMwVx,0.27821399176954736,1e-09
EXIT-DPO-1,F12P12,8.002604166666666,8.002604166666666e-09
EXIT-DPO-1,MTM,59.0,0.0
EXIT-DPO-1,MTA,271.0,0.0
EXIT-DPO-1,UseMTM,59.0,0.0
EXIT-DPO-1,BalAtExit,896995.9530129714,0.005
EXIT-DPO-1,YtmIRR,0.16770911833241306,1e-06
EXIT-DPO-1,YtmXIRR,0.1810219818784622,1e-06
EXIT-DPO-1,SellYTM,0.15000000000177283,1e-06
EXIT-DPO-1,MinHYTM,1.0,0.0
EXIT-DPO-1,MinHCY,1.0,0.0
EXIT-DPO-1,MinHMOIC,24.0,0.0
EXIT-DPO-1,MinHAll,24.0,0.0
EXIT-DPO-1,Net01,704229.1666666666,0.005
EXIT-DPO-1,Net02,0.0,0.005
EXIT-DPO-1,Net12,0.0,0.005
EXIT-DPO-1,Net23,0.0,0.005
EXIT-DPO-1,Net24,0.0,0.005
EXIT-DPO-1,Net25,0.0,0.005
EXIT-DPO-1,Net36,0.0,0.005
EXIT-DPO-1,Net60,0.0,0.005
EXIT-DPO-1,Opt06_Bid,684957.4598927399,0.005
EXIT-DPO-1,Opt12_Bid,673301.1426667364,0.005
EXIT-DPO-1,Opt24_Bid,653044.7433159314,0.005
EXIT-DPO-1,Opt36_Bid,636340.5706746281,0.005
EXIT-DPO-1,Opt60_Bid,611480.1284325622,0.005
EXIT-PIF-12,PmtPull,7500.0,0.005
EXIT-PIF-12,ExitVal,989406.6178638171,0.005
EXIT-PIF-12,BidNPV,929015.8358487263,0.005
EXIT-PIF-12,BidPct,0.9290158358487264,1e-09
EXIT-PIF-12,CY12,1.1538087689157088,1.153808768915709e-09
EXIT-PIF-12,MOIC,1.1538087689157088,1.153808768915709e-09
EXIT-PIF-12,ImpDPO,0.0,1e-09
EXIT-PIF-12,BidMwVx,0.37160633433949053,1e-09
EXIT-PIF-12,F12P12,12.18075702117974,1.2180757021179742e-08
EXIT-PIF-12,MTM,59.0,0.0
EXIT-PIF-12,MTA,271.0,0.0
EXIT-PIF-12,UseMTM,59.0,0.0
EXIT-PIF-12,BalAtExit,896995.9530129714,0.005
EXIT-PIF-12,YtmIRR,0.09129641468257362,1e-06
EXIT-PIF-12,YtmXIRR,0.09511837636713047,1e-06
EXIT-PIF-12,SellYTM,0.15000000000177283,1e-06
EXIT-PIF-12,MinHYTM,18.0,0.0
EXIT-PIF-12,MinHCY,1.0,0.0
EXIT-PIF-12,MinHMOIC,23.0,0.0
EXIT-PIF-12,MinHAll,23.0,0.0
EXIT-PIF-12,Net01,7500.0,0.005
EXIT-PIF-12,Net02,7500.0,0.005
EXIT-PIF-12,Net12,989406.6178638171,0.005
EXIT-PIF-12,Net23,0.0,0.005
EXIT-PIF-12,Net24,0.0,0.005
EXIT-PIF-12,Net25,0.0,0.005
EXIT-PIF-12,Net36,0.0,0.005
EXIT-PIF-12,Net60,0.0,0.005
EXIT-PIF-12,Opt06_Bid,963024.7586320802,0.005
EXIT-PIF-12,Opt12_Bid,929015.8358487263,0.005
EXIT-PIF-12,Opt24_Bid,869014.5129561055,0.005
EXIT-PIF-12,Opt36_Bid,818389.8424087621,0.005
EXIT-PIF-12,Opt60_Bid,739957.248572423,0.005
EXIT-DPO-12,PmtPull,7500.0,0.005
EXIT-DPO-12,ExitVal,692584.6325046719,0.005
EXIT-DPO-12,BidNPV,673301.1426667364,0.005
EXIT-DPO-12,BidPct,0.6733011426667364,1e-09
EXIT-DPO-12,CY12,1.1511708259320679,1.1511708259320679e-09
EXIT-DPO-12,MOIC,1.1511708259320679,1.1511708259320679e-09
EXIT-DPO-12,ImpDPO,0.30000000000000004,1e-09
EXIT-DPO-12,BidMwVx,0.26932045706669455,1e-09
EXIT-DPO-12,F12P12,8.807779914825817,8.807779914825817e-09
EXIT-DPO-12,MTM,59.0,0.0
EXIT-DPO-12,MTA,271.0,0.0
EXIT-DPO-12,UseMTM,59.0,0.0
EXIT-DPO-12,BalAtExit,896995.9530129714,0.005
EXIT-DPO-12,YtmIRR,0.17656948689332166,1e-06
EXIT-DPO-12,YtmXIRR,0.1913720251784558,1e-06
EXIT-DPO-12,SellYTM,0.15000000000177283,1e-06
EXIT-DPO-12,MinHYTM,1.0,0.0
EXIT-DPO-12,MinHCY,1.0,0.0
EXIT-DPO-12,MinHMOIC,24.0,0.0
EXIT-DPO-12,MinHAll,24.0,0.0
EXIT-DPO-12,Net01,7500.0,0.005
EXIT-DPO-12,Net02,7500.0,0.005
EXIT-DPO-12,Net12,692584.6325046719,0.005
EXIT-DPO-12,Net23,0.0,0.005
EXIT-DPO-12,Net24,0.0,0.005
EXIT-DPO-12,Net25,0.0,0.005
EXIT-DPO-12,Net36,0.0,0.005
EXIT-DPO-12,Net60,0.0,0.005
EXIT-DPO-12,Opt06_Bid,684957.4598927399,0.005
EXIT-DPO-12,Opt12_Bid,673301.1426667364,0.005
EXIT-DPO-12,Opt24_Bid,653044.7433159314,0.005
EXIT-DPO-12,Opt36_Bid,636340.5706746281,0.005
EXIT-DPO-12,Opt60_Bid,611480.1284325622,0.005
EXIT-PIF-60,PmtPull,7500.0,0.005
EXIT-PIF-60,ExitVal,902415.3035624247,0.005
EXIT-PIF-60,BidNPV,739957.248572423,0.005
EXIT-PIF-60,BidPct,0.739957248572423,1e-09
EXIT-PIF-60,CY12,0.12162864837615181,1e-09
EXIT-PIF-60,MOIC,1.817558117252218,1.817558117252218e-09
EXIT-PIF-60,ImpDPO,0.0,1e-09
EXIT-PIF-60,BidMwVx,0.2959828994289692,1e-09
EXIT-PIF-60,F12P12,1.0227272727272727,1.0227272727272727e-09
EXIT-PIF-60,MTM,59.0,0.0
EXIT-PIF-60,MTA,271.0,0.0
EXIT-PIF-60,UseMTM,59.0,0.0
EXIT-PIF-60,BalAtExit,896995.9530129714,0.005
EXIT-PIF-60,YtmIRR,0.1509943663859751,1e-06
EXIT-PIF-60,YtmXIRR,0.16172077517239047,1e-06
EXIT-PIF-60,SellYTM,0.15000000000177283,1e-06
EXIT-PIF-60,MinHYTM,18.0,0.0
EXIT-PIF-60,MinHCY,1.0,0.0
EXIT-PIF-60,MinHMOIC,23.0,0.0
EXIT-PIF-60,MinHAll,23.0,0.0
EXIT-PIF-60,Net01,7500.0,0.005
EXIT-PIF-60,Net02,7500.0,0.005
EXIT-PIF-60,Net12,7500.0,0.005
EXIT-PIF-60,Net23,7500.0,0.005
EXIT-PIF-60,Net24,7500.0,0.005
EXIT-PIF-60,Net25,7500.0,0.005
EXIT-PIF-60,Net36,7500.0,0.005
EXIT-PIF-60,Net60,902415.3035624247,0.005
EXIT-PIF-60,Opt06_Bid,963024.7586320802,0.005
EXIT-PIF-60,Opt12_Bid,929015.8358487263,0.005
EXIT-PIF-60,Opt24_Bid,869014.5129561055,0.005
EXIT-PIF-60,Opt36_Bid,818389.8424087621,0.005
EXIT-PIF-60,Opt60_Bid,739957.248572423,0.005
EXIT-DPO-60,PmtPull,7500.0,0.005
EXIT-DPO-60,ExitVal,631690.7124936973,0.005
EXIT-DPO-60,BidNPV,611480.1284325622,0.005
EXIT-DPO-60,BidPct,0.6114801284325623,1e-09
EXIT-DPO-60,CY12,0.1471838508157273,1e-09
EXIT-DPO-60,MOIC,1.7567058397256903,1.7567058397256905e-09
EXIT-DPO-60,ImpDPO,0.30000000000000004,1e-09
EXIT-DPO-60,BidMwVx,0.2445920513730249,1e-09
EXIT-DPO-60,F12P12,1.0227272727272727,1.0227272727272727e-09
EXIT-DPO-60,MTM,59.0,0.0
EXIT-DPO-60,MTA,271.0,0.0
EXIT-DPO-60,UseMTM,59.0,0.0
EXIT-DPO-60,BalAtExit,896995.9530129714,0.005
EXIT-DPO-60,YtmIRR,0.20321890597174316,1e-06
EXIT-DPO-60,YtmXIRR,0.22300435289603593,1e-06
EXIT-DPO-60,SellYTM,0.15000000000177283,1e-06
EXIT-DPO-60,MinHYTM,1.0,0.0
EXIT-DPO-60,MinHCY,1.0,0.0
EXIT-DPO-60,MinHMOIC,24.0,0.0
EXIT-DPO-60,MinHAll,24.0,0.0
EXIT-DPO-60,Net01,7500.0,0.005
EXIT-DPO-60,Net02,7500.0,0.005
EXIT-DPO-60,Net12,7500.0,0.005
EXIT-DPO-60,Net23,7500.0,0.005
EXIT-DPO-60,Net24,7500.0,0.005
EXIT-DPO-60,Net25,7500.0,0.005
EXIT-DPO-60,Net36,7500.0,0.005
EXIT-DPO-60,Net60,631690.7124936973,0.005
EXIT-DPO-60,Opt06_Bid,684957.4598927399,0.005
EXIT-DPO-60,Opt12_Bid,673301.1426667364,0.005
EXIT-DPO-60,Opt24_Bid,653044.7433159314,0.005
EXIT-DPO-60,Opt36_Bid,636340.5706746281,0.005
EXIT-DPO-60,Opt60_Bid,611480.1284325622,0.005
EXIT-START6-EXIT24,PmtPull,7500.0,0.005
EXIT-START6-EXIT24,ExitVal,978232.1750566303,0.005
EXIT-START6-EXIT24,BidNPV,839022.5707304731,0.005
EXIT-START6-EXIT24,BidPct,0.8390225707304731,1e-09
EXIT-START6-EXIT24,CY12,0.06257281011438375,1e-09
EXIT-START6-EXIT24,MOIC,1.3268202952960177,1.326820295296018e-09
EXIT-START6-EXIT24,ImpDPO,0.0,1e-09
EXIT-START6-EXIT24,BidMwVx,0.33560902829218925,1e-09
EXIT-START6-EXIT24,F12P12,0.5965909090909091,1e-09
EXIT-START6-EXIT24,MTM,59.0,0.0
EXIT-START6-EXIT24,MTA,271.0,0.0
EXIT-START6-EXIT24,UseMTM,59.0,0.0
EXIT-START6-EXIT24,BalAtExit,896995.9530129714,0.005
EXIT-START6-EXIT24,YtmIRR,0.11771148009233841,1e-06
EXIT-START6-EXIT24,YtmXIRR,0.12414491831341118,1e-06
EXIT-START6-EXIT24,SellYTM,0.15000000000177283,1e-06
EXIT-START6-EXIT24,MinHYTM,13.0,0.0
EXIT-START6-EXIT24,MinHCY,1.0,0.0
EXIT-START6-EXIT24,MinHMOIC,23.0,0.0
EXIT-START6-EXIT24,MinHAll,,0.0
EXIT-START6-EXIT24,Net01,0.0,0.005
EXIT-START6-EXIT24,Net02,0.0,0.005
EXIT-START6-EXIT24,Net12,7500.0,0.005
EXIT-START6-EXIT24,Net23,7500.0,0.005
EXIT-START6-EXIT24,Net24,978232.1750566303,0.005
EXIT-START6-EXIT24,Net25,0.0,0.005
EXIT-START6-EXIT24,Net36,0.0,0.005
EXIT-START6-EXIT24,Net60,0.0,0.005
EXIT-START6-EXIT24,Opt06_Bid,933782.5992020796,0.005
EXIT-START6-EXIT24,Opt12_Bid,899514.0940292466,0.005
EXIT-START6-EXIT24,Opt24_Bid,839022.5707304731,0.005
EXIT-START6-EXIT24,Opt36_Bid,787943.9325388544,0.005
EXIT-START6-EXIT24,Opt60_Bid,708701.5871904937,0.005
EXIT-USERENTER-0,PmtPull,7500.0,0.005
EXIT-USERENTER-0,ExitVal,0.0,0.005
EXIT-USERENTER-0,BidNPV,149115.28082219165,0.005
EXIT-USERENTER-0,BidPct,0.14911528082219164,1e-09
EXIT-USERENTER-0,CY12,0.6035598732990886,1e-09
EXIT-USERENTER-0,MOIC,1.1568230904899197,1.1568230904899197e-09
EXIT-USERENTER-0,ImpDPO,1.0,1e-09
EXIT-USERENTER-0,BidMwVx,0.05964611232887666,1e-09
EXIT-USERENTER-0,F12P12,1.0227272727272727,1.0227272727272727e-09
EXIT-USERENTER-0,MTM,59.0,0.0
EXIT-USERENTER-0,MTA,271.0,0.0
EXIT-USERENTER-0,UseMTM,59.0,0.0
EXIT-USERENTER-0,BalAtExit,896995.9530129714,0.005
EXIT-USERENTER-0,YtmIRR,0.7224524935525999,1e-06
EXIT-USERENTER-0,YtmXIRR,1.0146405119078783,1e-06
EXIT-USERENTER-0,SellYTM,0.15000000000177283,1e-06
